Date,Focus,Summary,Challenges/Problems,Next Steps,Members,"Media Links / Additional Notes (i.e. GooglePhotos link, video link, etc.)"
9/26/2020,Brainstorming wobble goal ideas and also assessing strategic possibilities,We came up with new ideas for how to move the wobble goal. We also tried to sort out the pros and cons of flywheel intake and pushing the wobble goal,"As a virtual group, it was hard to get a sense of what the pieces are actually like (friction, weight, etc.).",We should come up with a more solidified direction for prototyping and building these intake/launch and wobble goal mechs!,"Annie, Marcus, Alicia, Yuyuan, Ava",
9/26/2020,Brainstorming and assessing possible wobble goal ideas.,"We came up with various ideas on how to pick up and move the wobble goal. Then, we found the pros and cons of picking up and placing rings with a pinching mechanism as well as moving/lifting the wobble goal from the bottom.",We struggled with getting a consistent amount of how many rings would fall off a wobble goal when you dropped it over the imaginary wall. We eventually overcame this by testing multiple times and taking an average that seemed safe.,Next time we should probably vote on a final idea and start prototyping it.,"Bonnie, Haley, Karla, Ellie, Abby G",
9/26/2020,Brainstorming and assessing the pros and cons with wobble ideas and strategy,Today we came up with some ideas for the wobble goal and brainstormed how to pick up rings and place them in the low goal,"Today we struggled to see which design criteria are most important, I.e. one idea we discussed was really reliable and cost effective but it wasn't very robust or controllable so we are yet to decide which are more important","Next time, we would like to have some more concrete ideas about this mechanism and decide on one design that we would like to move forward with. Maybe we could also start prototyping.","Liza, Audrey C, Sophia",
9/26/2020,Brainstorming and assessing the pros and cons with wobble ideas and strategies,We discussed different mechs for grabbing and pushing the wobble goal as well as placing it in the drop zone.,It was difficult to explain ideas. It was also difficult to draw and write our ideas while social distancing. It was hard to accurately assess ideas without any data or prototypes.,We should work more on ideas for combining different mechs and prototyping.,"Alyssa, Audrey C, Jolie, Maya",
9/26/2020,Brainstorming pros/cons in order to figure out strategy for continuous intake + push mech,"Focused on brainstorming mechs for the wobble goal, and then in our group we brainstormed strategies for continuous launcher intake method in addition to the pushing wobble method","Figuring out how feasible the two mechs are when they are combined in terms of taking up space, a solution was just using simple push mech and the launcher instead of clamp.","Maybe work out ideas for combining the two mechs, and start testing out ideas.","Amelia, Kayla, Ali",
10/3/2020,Prototyping with legos and voting on final mechs.,Each individual person got a certain mech idea from our brainstorming last meeting to prototype with legos. We then shared our prototypes with the rest of the team. Then the entire team voted on one set of mechs we thought would work best.,We realized that legos are limited in what we can do with them and we overcame that by understanding that they were not perfect and that we would need to explain certain aspects.,We started prototyping with real robot parts.,"Amelia, Alyssa, Hannah, Abby G, Ellie,  Jolie",
10/3/2020,Prototyping final mechs with robotic parts.,"We broke up into 2 pairs to work on the launching and intake mechs. One group worked on building the launcher mech. We took measurements such as the diameter of the wheel and ring to help us make the border and platform. The other group worked on the intake system, which is a drill/motor-based mech with a wheel in the center. We attached a wheel on a drill with a base of cardboard to simulate a flat surface.","There wasn't a flat surface for the drill, so it was not very stable.",Continue to prototype with real robot parts.,"Amelia, Alyssa, Hannah, Abby G",
10/3/2020 (afternoon),CADing prototypes/ CADing for prototypes,"We attempted to download part files in order to CAD prototypes, but we gave up and decided to just CAD parts for a prototype. We focused on the launcher diagram that the morning group worked on.","We had a lot of issues trying to upload STEP files into Fusion 360, We also tried converting to STL first but that didn't seem to work",Laser cut the files we made last time and assemble launch prototype.,"Maya, Karina",
10/10/2020,Prototyping launch mechanism,"Today we made a prototype of the launch mech first using the laser-cut notches. The notches made the radius a little too small, so we tried again by using hot glue instead of the notches. This wider radius worked 
well.","The radius of the half-circle mechanism was too small, since the upper and lower pieces were designed to have edges of the right radius but the connecting notches were put on the inside of the edge. This made the launch less powerful and the ring did not go as far. There was also some trouble getting the hot glue to stay.",Laser cut and Test out a new CADed design of the launch prototype with a wider radius.,"Ellie, Jolie, Maya",
10/10/2020,Prototyping Horizontal Intake Mech,"We used a couple flats, lego wheels, and a drill to create a horizontal intake prototype. We used two rows of two wheels each. The ring would essentially be taken in from below the wheels.","The wheels were a bit too small, so they got caught in the middle of the ring. The flat was also at an awkward height which prevented the wheels from properly catching the ring. We also had a bit of trouble stabilizing the wheels/axles.",We are planning to further stabilize the wheels and put them on more of an angle so they in the future could bring rings up and into the launch mech.,"Hannah, Alyssa",
10/10/2020,Go Builda Chassis Assembly,We began assembling our second Go Builda Chassis in order for the builders to work with one and the coders to use the other one for coding autonomous.,"We had assembled one piece incorrectly in the beginning which caused aligning and symmetry issues, but we realized our error and fixed it quickly.",We just finished assembling step 8,"Annie, Amelia",
10/10/2020 (afternoon),Go Builda Chassis Assembly + throwing mechanism prototype assembly,I picked up where those who worked on the chassis this morning had left off and finished putting it together. I then worked with Zoe to assemble a working prototype of our throwing mechanism,"We found that the sides of our throwing mech would perform better if we attached them to the base with holes rather than slots, so that we can create more tension/friction.",Design and print a prototype with holes instead of indents so there is more tension,"Jordyn, Zoe",
10/17/2020,Building horizontal intake mech,"We began building the intake mech by cutting metal t-slotted aluminum to attach the mech to. We tested three prototypes of 3D printed wheels and selected one, the toothed wheel, to use moving forward. We experimented with the distance between the wheels and the pulleys we used with our belts.",It was difficult to determine which wheel performed the best. It was also hard to determine how much distance should be between the wheels in order to successfully move rings.,We need to finish assembling the mec and attach another row of wheel in addition to more belts of wheel to bring the rings further up the ramp transporting them to the launch mech. We will construct the ramp later.,"Hannah, Alyssa",
10/17/2020,Launch mech adjustments,"Strategized, adjusted CAD of prototype, tested different motors, and launch angles,","We checked in with the intake group and wobble goal group to decide placement of launcher, decided on stationary launcher. Tested motors and found Rev-41-1291 best. Made base of launcher larger for stability, Discussed possibility of ""staircase launcher."" Tested launching and found success with middle, high, and power shots.","Test out ""staircase"" launcher/incline at end. Add spacers to wheel in launcher, work on connection between intake and launcher","Jolie, Annie, Amelia, Maya, Abby G",
10/17/2020,Wobble Goal prototype,"We brainstormed different prototypes for picking up the wobble goal and placing them outside the playing field. We essentially came up with two ideas, one V-shaped prototype and another circular clamp.","After CADing the circular clamp prototype, we tested in on the wobble goal and realized it would need a lot of driver precision. To solve this problem, I think we will try prototyping the V-shaped prototype since it doesn't require as much driver precision.",CAD and laser cut V-shaped prototype and test out.,"Jolie, Annie, Amelia, Maya, Abby G",
