Date,Focus,Summary,Challenges/Problems,Next Steps,Members,"Media Links / Additional Notes (i.e. GooglePhotos link, video link, etc.)"
10/3/2020 (morning),"Downloading applications and making Github accounts, taking apart last year's robot","We downloaded a lot of software (Android Studio, and other applications to make that work) to help us connect and contribute to the Wildbots GitHub. We looked over the pre-existing drive library to see what we could figure out based on our limited knowledge of the coding language. We also started to take apart RB (rip) so we could use the chassis to start coding the robot.","Some computer problems, when downloading, there were various different errors. Taking the mechs off of last year's robot turned out to be much more complicated than expected, so we still have some work to do on that next week.",Finish unscrewing the robot so that it can be used for learning and practice.,"Liza, Sophia",
10/3/2020 (afternoon),"Downloading Android Studio, making a Github account, and looking at a little bit of old code",We downloaded Android Studio. We were able to create Github accounts and join the Wildbots GitHub. We also looked over the drive library and the driver-controlled code.,We had some problems with Android Studio because there were some new error messages that we weren't sure how to fix.,Finish correcting error messages and work towards a better understanding of the program,"Bonnie, Kate, Abby, Liza",
10/10/2020 (morning),"Getting an intro to Java tutorial, finishing taking apart the past robot, connecting the Driver control Hub","Today we learned the basics of java coding (arrays, void, int, etc.) and took apart last year's robot to have access to the chassis. We later set up the new control hub and connected the phone and then took the driving code from one of last year's code, and learned how to push and pull it.","We had some trouble with pushing and pulling out the drive code and remembering to capitalize ""System"" in the code.",Get this code to work on the robot,"Bonnie, Sophia, Liza",
10/10/2020 (afternoon),"Getting the Teleop mode to work, setting up encoders",Today we used the Teleop mode that the morning group built and got it to work with the control hub. We also started working on the encoders and trying to correspond to the data that they return to distance.,"To test the encoders, we made an autonomous mode that would log the encoder data, move, then log the encoder data again so that we could find the difference, but for some reason, the logs were not showing up in the new autonomous","Finish figuring out encoder data, maybe try to figure out why the logs were not showing up.","Abby B, Kate, Liza",
10/17/2020 (morning),"Learning how to set up the robot correctly, running some code autonomously, tried to use the controllers to drive and turn, learned about strafing","We started by pulling a basic auton code from last year's GitHub and fixed some parts of it so we could then try to transfer the code from our computers to the robot. We also tried twice to connect the controllers and phones to the robot, once with instructions, and once on our own. We then took a break and worked with the building team on how the mechs would work specifically and offered some ideas which when compiled, the building team put the final idea on the whiteboard. Kate then taught us (Liza and Sophia) strafing math and how the mecanum wheels work.","Sometimes, the phone froze or we forgot steps in between when setting up the robot, so we had to restart again.","After learning the concept of strafing, we wanted to try to turn while moving on a diagonal. We also wanted to work with some sensors and make moving on a diagonal more precise. We also proposed a code that (during TeleOp) could sense the side of the goal and hit all three power shots in a row!","Liza, Sophia, Kate",
10/17/2020 (afternoon),Measuring encoder values,"We wanted to make it so that we can correlate encoder values to distance. To do this, Haley and Abby measured approximately 50 data points of varying distances to determine the correlation. Fortunately, there definitely appeared to be a correlation between the values and the distance which means that our encoders are working, however, there was a bit of variation in the exact values of the encoders between identical distances. Liza and Kate then used the values we recorded to plot graphs and try to make some preliminary relations between distance and value.",The front right wheel likes to lift off the ground ~floaty~ and the robot slips a little bit after the coded distance is done,"In upcoming weeks, we need to figure out a method of utilizing these measured encoder values and distances and also figure how the two are actually related, perhaps by making an equation.","Kate, Abby, Liza, Haley",
10/24/2020 (morning),Coding the TeleOp ring shooter,"We wrote code so that when ""B"" was pressed on the second controller, the middle wheel would spin at full speed, and when the button was released, the wheel would stop spinning completely. We also connected a new expansion hub to the chassis we were working on. We also took apart one of last year’s motors and built a new Ultra Planetary Motor that we tested our code on. We then pushed it into GitHub. 
","While writing the code, we had trouble with some errors, especially when figuring out where to put the new code and figuring out that we needed to add ""intake=hardwareMap.get(DcMotor.class, ""in take"");"". We also had a little trouble finding instructions for connecting the expansion hub and building the ultra planetary gearbox. ",We want to make it a switch instead of making the driver continuously press the button. We were thinking of creating a boolean variable and then using it to switch the truth/false value to its opposite every time the button is pressed.,"Bonnie, Liza, Sophia",
10/24/2020 (afternoon),LEDs and Arrays/encoder testing,"We tested the LEDs with a sample code and added them (as servos) into the configuration. We also worked on correlating the encoder values into distance through creating an enum and hashtable for the encoder values. 
","One wheel floats, so it didn’t stop moving when we tried to control the wheels by their encoder values.
",We will attempt to understand the sample code and fix the code so that all the wheels stop moving.,"Abby, Kate, Liza",
10/31/2020 (morning),Begin coding distance sensors for autonomous,We discussed strategies for autonomous based on how many rings we were given during auton. We then joined with the building team to figure out where the intake and launching mechs were going to be on the robot and how we might pick up the wobble goal. We also took two distance sensors and began coding them and connecting them to the phone. We used code from last year to help us since none of us had much experience working with distance sensors. We had to make a few changes for the code to work. We created a mini setup of the field and added tape before we started testing.,"We did not know which bus and which port to connect the sensor to, so we had to test different ones and then try them several times to find the right ones. We eventually figured out that the configuration for the top sensor was 12C Bus 1 Port 0 and the bottom was 12C Bus 2 Port 0. We also didn't realize at first that the robot would be preloaded with 3 rings which meant that some of our strategies had to be revised. We had to take into consideration the size of the robot while we were planning on how to use the distance sensors, and we had to consult with the Building team and finally decided to put them in the front right corner of the robot.",We will code the distance sensors to see how many rings are present (knowing there is a wide range of error between the two sensors).,"Bonnie, Liza, Sophia, Kate",
11/7/2020 (morning),We finished adding distance sensors to the chassis and coding them to detect how many rings are there at the beginning of the autonomous period. We also brainstormed what to do in the various scenarios.,"We cut steel pieces so we could attach the sensors to the robot in a place that would not interfere with the intake and output mechs. The distance sensors are lock-tightened onto the steel sticks. We then went to turn on the robot and phone but it was dead. So, we made a prototype code for how to sense how many distance sensors there were in the stack. We also realized that the number of rings would matter in that the wobble goal would have to be placed on a different tile according to the number of rings. (0 rings - A, 1 ring - B, 4 rings - C). We then pushed the prototype code onto the GitHub (this is not based on actual numbers pulled from the distance sensors but from estimations). 
We also celebrated because Biden won!!","The phone connected to the robot was out of battery, so we were not able to test our code yet. We hope that it will work. When attaching the distance sensors, we had some trouble planning where and how we should attach them on the robot and the screws were sometimes difficult to deal with. Some of the distance sensor parts broke, but we replaced these. The bottom distance sensor is supposed to detect if there is only one ring at the beginning of the autonomous period, but it is too high up and might miss the ring. We considered to angle it down, but then we were afraid it might detect the ground instead. We will try to attach it lower if possible.",Test the code for the distance sensors. Try to improve accuracy when driving to a specific distance. Think about paths for driving to wobble goal boxes.,"Bonnie, Liza, Sophia",
